;First Name;Last Name;Date;Iteration;Row Type;Iter Number;Power1;Speed1;Speed2;Electricity;Effort;Weight;Torque
1; Person; Human; end of time;1;Iter;1;360;108;863;599;680;442;982
2; Person; Human; end of time;1;Iter;2;684;508;613;241;249;758;639
3; Person; Human; end of time;1;Iter;3;365;126;825;407;855;164;86
4; Person; Human; end of time;1;Iter;4;764;594;304;718;278;674;774
5; Person; Human; end of time;1;Iter;5;487;97;593;206;779;800;123
6; Person; Human; end of time;1;Average;182;361;741;231;731;493;847;237
7; Person; Human; end of time;1;Maximum;276;33;97;154;25;922;9;312
8; Person; Human; end of time;1;Std.Dev.;523;1000;34;904;237;600;170;553
9; Person; Human; end of time;1;Total;336;-;-;-;-;977;744;652
11; Person; Human; end of time;2;Iter;1;702;494;311;492;456;370;150
12; Person; Human; end of time;2;Iter;2;929;82;838;421;154;346;227
13; Person; Human; end of time;2;Iter;3;763;402;344;951;139;295;285
14; Person; Human; end of time;2;Iter;4;469;930;560;395;433;237;429
15; Person; Human; end of time;2;Iter;5;688;145;41;188;534;778;152
16; Person; Human; end of time;2;Average;66;307;835;615;731;943;460;76
17; Person; Human; end of time;2;Maximum;329;402;777;664;98;44;932;409
18; Person; Human; end of time;2;Std.Dev.;439;770;222;395;3;97;802;570
19; Person; Human; end of time;2;Total;287;-;-;-;-;655;169;620
21; Person; Human; end of time;3;Iter;1;618;728;829;925;777;943;412
22; Person; Human; end of time;3;Iter;2;191;887;652;255;214;42;343
23; Person; Human; end of time;3;Iter;3;288;352;434;960;106;326;797
24; Person; Human; end of time;3;Iter;4;443;421;954;550;113;867;705
25; Person; Human; end of time;3;Iter;5;452;430;57;115;680;449;146
26; Person; Human; end of time;3;Average;769;535;217;840;172;474;424;189
27; Person; Human; end of time;3;Maximum;317;573;326;989;867;686;559;169
28; Person; Human; end of time;3;Std.Dev.;52;27;49;696;249;886;175;218
29; Person; Human; end of time;3;Total;98;-;-;-;-;40;686;585
31; Person; Human; end of time;4;Iter;1;372;592;393;453;624;34;334
32; Person; Human; end of time;4;Iter;2;546;679;734;612;382;917;920
33; Person; Human; end of time;4;Iter;3;2;357;301;139;935;722;996
34; Person; Human; end of time;4;Iter;4;474;41;57;934;250;801;389
35; Person; Human; end of time;4;Iter;5;715;278;862;460;377;893;94
36; Person; Human; end of time;4;Average;707;221;80;972;152;640;81;430
37; Person; Human; end of time;4;Maximum;743;163;548;844;761;810;776;590
38; Person; Human; end of time;4;Std.Dev.;855;207;917;763;211;831;566;871
39; Person; Human; end of time;4;Total;948;-;-;-;-;139;598;821
41; Person; Human; end of time;5;Iter;1;146;596;946;165;942;39;715
42; Person; Human; end of time;5;Iter;2;452;547;999;827;103;495;340
43; Person; Human; end of time;5;Iter;3;506;788;308;197;179;974;44
44; Person; Human; end of time;5;Average;74;892;812;719;684;864;86;636
45; Person; Human; end of time;5;Maximum;858;783;621;778;301;107;22;577
46; Person; Human; end of time;5;Std.Dev.;268;979;93;58;305;939;261;250
47; Person; Human; end of time;5;Total;162;-;-;-;-;732;801;876
49; Person; Human; end of time;6;Iter;1;504;517;395;953;582;353;603
50; Person; Human; end of time;6;Iter;2;24;561;908;650;896;719;714
51; Person; Human; end of time;6;Iter;3;201;913;64;351;979;571;235
52; Person; Human; end of time;6;Average;643;957;954;679;768;665;68;645
53; Person; Human; end of time;6;Maximum;493;118;807;95;905;638;875;963
54; Person; Human; end of time;6;Std.Dev.;341;337;994;117;181;291;792;369
55; Person; Human; end of time;6;Total;460;-;-;-;-;167;38;948
57; Person; Human; end of time;7;Iter;1;779;504;574;5;564;375;604
58; Person; Human; end of time;7;Iter;2;713;720;952;72;167;208;174
59; Person; Human; end of time;7;Iter;3;677;19;35;976;274;684;586
60; Person; Human; end of time;7;Average;38;470;883;277;258;8;649;615
61; Person; Human; end of time;7;Maximum;658;822;763;466;324;441;570;116
62; Person; Human; end of time;7;Std.Dev.;629;262;432;136;429;83;635;314
63; Person; Human; end of time;7;Total;731;-;-;-;-;463;303;413
65; Person; Human; end of time;8;Iter;1;682;247;118;790;523;377;969
66; Person; Human; end of time;8;Iter;2;943;660;269;898;607;909;504
67; Person; Human; end of time;8;Iter;3;717;906;23;752;97;117;329
68; Person; Human; end of time;8;Average;618;413;312;716;771;911;355;486
69; Person; Human; end of time;8;Maximum;525;111;737;378;179;613;813;889
70; Person; Human; end of time;8;Std.Dev.;858;824;84;214;190;907;572;707
71; Person; Human; end of time;8;Total;54;-;-;-;-;98;515;772
73; Person; Human; end of time;9;Iter;1;810;75;476;586;712;894;363
74; Person; Human; end of time;9;Iter;2;709;672;851;934;623;597;557
75; Person; Human; end of time;9;Iter;3;506;600;718;672;384;601;738
76; Person; Human; end of time;9;Average;815;230;350;286;532;72;938;337
77; Person; Human; end of time;9;Maximum;719;94;976;616;553;196;51;215
78; Person; Human; end of time;9;Std.Dev.;57;950;576;163;627;557;701;801
79; Person; Human; end of time;9;Total;133;-;-;-;-;680;961;634
81; Person; Human; end of time;10;Iter;1;29;327;220;939;154;216;399
82; Person; Human; end of time;10;Iter;2;959;105;886;66;638;352;422
83; Person; Human; end of time;10;Iter;3;520;154;303;329;522;513;767
84; Person; Human; end of time;10;Average;499;48;999;923;597;933;731;533
85; Person; Human; end of time;10;Maximum;284;753;380;380;869;884;52;412
86; Person; Human; end of time;10;Std.Dev.;663;988;724;721;841;907;785;453
87; Person; Human; end of time;10;Total;141;-;-;-;-;385;177;982
89; Person; Human; end of time;11;Iter;1;180;410;106;273;30;348;262
90; Person; Human; end of time;11;Iter;2;667;248;266;313;836;199;628
91; Person; Human; end of time;11;Iter;3;304;362;768;137;709;754;173
92; Person; Human; end of time;11;Average;960;658;145;157;957;469;14;956
93; Person; Human; end of time;11;Maximum;319;936;526;631;907;241;813;56
94; Person; Human; end of time;11;Std.Dev.;967;306;607;193;578;679;126;807
95; Person; Human; end of time;11;Total;534;-;-;-;-;79;729;399
97; Person; Human; end of time;12;Iter;1;35;369;169;3;161;677;829
98; Person; Human; end of time;12;Iter;2;211;225;890;434;632;693;541
99; Person; Human; end of time;12;Iter;3;858;787;10;687;102;22;97
100; Person; Human; end of time;12;Average;260;405;307;15;65;811;501;574
101; Person; Human; end of time;12;Maximum;509;964;461;176;384;921;218;632
102; Person; Human; end of time;12;Std.Dev.;911;334;67;205;738;400;263;476
103; Person; Human; end of time;12;Total;434;-;-;-;-;832;461;830
105; Person; Human; end of time;13;Iter;1;897;26;926;827;139;394;583
106; Person; Human; end of time;13;Iter;2;808;779;906;784;487;432;745
107; Person; Human; end of time;13;Iter;3;198;808;788;719;612;236;960
108; Person; Human; end of time;13;Average;685;702;66;996;14;235;267;468
109; Person; Human; end of time;13;Maximum;933;834;612;68;666;346;961;305
110; Person; Human; end of time;13;Std.Dev.;216;935;21;255;421;412;522;848
111; Person; Human; end of time;13;Total;542;-;-;-;-;980;393;679
113; Person; Human; end of time;14;Iter;1;695;228;331;624;247;708;630
114; Person; Human; end of time;14;Iter;2;168;107;319;866;544;287;124
115; Person; Human; end of time;14;Iter;3;977;509;598;432;871;402;511
116; Person; Human; end of time;14;Iter;4;527;824;210;136;403;34;476
117; Person; Human; end of time;14;Average;642;757;335;460;937;764;645;363
118; Person; Human; end of time;14;Maximum;860;760;338;513;548;411;493;99
119; Person; Human; end of time;14;Std.Dev.;476;178;727;605;850;907;796;970
120; Person; Human; end of time;14;Total;112;-;-;-;-;708;851;16
122; Person; Human; end of time;15;Iter;1;638;914;568;544;993;840;210
123; Person; Human; end of time;15;Iter;2;422;908;482;995;624;924;394
124; Person; Human; end of time;15;Iter;3;186;401;665;750;822;613;824
125; Person; Human; end of time;15;Average;487;631;880;448;212;905;960;927
126; Person; Human; end of time;15;Maximum;188;478;209;787;869;712;9;353
127; Person; Human; end of time;15;Std.Dev.;869;456;671;542;200;828;505;594
128; Person; Human; end of time;15;Total;650;-;-;-;-;536;107;46
130; Person; Human; end of time;16;Iter;1;580;688;751;566;64;318;493
131; Person; Human; end of time;16;Iter;2;909;994;946;52;835;157;552
132; Person; Human; end of time;16;Iter;3;393;408;700;725;389;900;990
133; Person; Human; end of time;16;Average;966;426;467;680;893;859;512;199
134; Person; Human; end of time;16;Maximum;944;975;418;492;183;930;413;749
135; Person; Human; end of time;16;Std.Dev.;845;805;86;838;207;171;173;200
136; Person; Human; end of time;16;Total;301;-;-;-;-;820;856;42
138; Person; Human; end of time;17;Iter;1;782;56;539;463;820;191;834
139; Person; Human; end of time;17;Iter;2;567;539;29;364;846;80;539
140; Person; Human; end of time;17;Iter;3;285;408;700;378;51;646;912
141; Person; Human; end of time;17;Average;650;387;270;332;76;919;764;813
142; Person; Human; end of time;17;Maximum;959;191;795;783;718;837;243;101
143; Person; Human; end of time;17;Std.Dev.;220;826;774;574;319;667;5;226
144; Person; Human; end of time;17;Total;289;-;-;-;-;925;31;872
146; Person; Human; end of time;18;Iter;1;656;27;127;306;957;848;17
147; Person; Human; end of time;18;Iter;2;513;482;656;825;787;822;268
148; Person; Human; end of time;18;Iter;3;48;327;229;146;370;807;206
